수도권 구분,시군구,구분,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 강릉시,노인인구 비율,8.594,9.028,9.532,10.055,10.606,11.206,11.832,12.584,13.127,13.727,14.302,14.816,15.449,16.077,16.686,17.209,17.62,18.595,19.353,20.199,21.322,22.219,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 강릉시,전체 인구,"233,121","231,943","229,869","229,073","227,259","224,391","222,016","220,484","218,399","217,464","218,503","217,571","217,741","216,806","215,807","214,560","213,846","213,952","212,957","213,442","213,321","212,965",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 고성군,노인인구 비율,11.927,12.698,13.659,14.689,15.605,16.337,17.389,18.741,19.465,20.035,20.743,21.446,21.909,22.242,22.756,23.273,23.746,24.31,26.35,28.096,29.693,30.225,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 고성군,전체 인구,"35,391","34,643","33,721","32,739","32,361","31,964","31,285","30,383","30,172","30,272","30,112","30,057","30,124","30,398","30,269","30,060","30,114","30,029","28,144","27,260","26,757","27,249",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 동해시,노인인구 비율,7.705,8.017,8.426,8.945,9.484,10.056,10.712,11.533,12.122,12.701,13.195,13.554,14.249,14.721,15.287,15.859,16.211,17.104,18.106,19.153,20.193,21.135,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 동해시,전체 인구,"103,654","103,570","102,857","101,764","100,727","99,230","97,497","96,652","95,652","95,271","95,236","95,804","93,897","95,143","94,562","93,895","93,297","92,851","91,272","90,522","90,593","90,081",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 삼척시,노인인구 비율,11.145,11.887,12.671,13.377,14.18,15.001,15.711,16.631,17.089,17.375,17.907,18.095,18.567,19.057,19.699,20.507,20.992,22.029,22.658,23.806,25.4,26.619,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 삼척시,전체 인구,"82,177","79,770","77,434","75,759","74,301","73,134","71,750","70,791","70,954","71,935","72,046","72,312","72,463","73,023","72,314","70,839","69,599","68,514","68,326","67,228","65,243","63,429",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 속초시,노인인구 비율,7.498,7.819,8.234,8.619,9.148,9.721,10.361,11.048,11.647,12.173,12.665,13.178,13.798,14.311,14.874,15.23,15.591,16.365,17.081,18.116,19.203,20.139,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 속초시,전체 인구,"90,032","90,231","90,029","89,047","87,933","87,124","86,073","85,370","84,599","83,822","84,302","83,745","83,579","83,109","82,432","81,992","81,793","82,273","81,682","81,786","82,665","82,791",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 양구군,노인인구 비율,10.705,11.41,12.15,12.962,13.609,14.381,15.149,15.957,16.5,17.193,17.195,17.061,17.049,16.992,16.958,16.945,17.11,17.869,18.472,19.737,21.106,22.499,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 양구군,전체 인구,"23,420","23,198","22,527","21,995","21,692","21,480","21,269","21,401","21,303","21,323","21,843","22,285","22,799","23,594","23,888","24,089","24,010","23,835","23,408","22,764","22,278","21,748",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 양양군,노인인구 비율,12.601,13.171,13.905,14.81,15.582,16.614,17.54,18.65,19.705,20.496,21.268,21.988,22.973,23.808,24.578,25.19,25.648,26.883,27.63,28.655,29.75,31.064,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 양양군,전체 인구,"30,141","30,180","30,076","29,480","29,187","29,132","28,661","28,472","28,115","27,957","27,929","27,942","27,802","27,659","27,521","27,479","27,218","27,207","27,347","27,726","27,946","27,913",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 영월군,노인인구 비율,12.958,12.959,14.819,15.893,17.144,18.193,19.153,20.124,20.728,21.227,21.64,22.115,22.712,23.39,23.891,24.324,24.742,25.892,26.854,28.175,29.74,30.96,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 영월군,전체 인구,"48,393","52,101","45,273","44,027","42,406","41,538","40,511","40,290","40,201","40,265","40,407","40,199","40,155","40,150","40,191","40,216","40,073","40,067","39,730","39,127","38,662","37,904",,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 원주시,노인인구 비율,7.723,8.086,8.44,8.879,9.278,9.626,10,10.357,10.634,10.852,11.076,11.294,11.615,11.948,12.179,12.344,12.5,13.256,13.718,14.313,15.066,15.869,,,,,,,,,,,,,,,,,,,,,
비수도권,강원도 원주시,전체 인구,"270,009","274,266","276,889","280,738","284,628","288,454","294,155","298,762","303,975","307,882","314,678","320,536","323,885","324,837","327,292","332,995","337,979","341,337","344,070","349,215","354,376","357,757",,,,,,,,,,,,,,,,,,,,,
